gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,acceptances,waitlists,rejections,note,acceptances_clean,waitlists_clean,rejections_clean,num_acceptances,num_waitlists,num_rejections
F,BLACK,CA,Low,PRIVATE,URM,CS,1320,5,5.7,['*UPENN'],[],['*NYU'],NA,UPENN,,NYU,1,0,1
M,ASIAN,WA,Low,NA,NONE,CS,1570,4.5,1.5,"['*NYU', '*NORTHEASTERN']",[],['*CLAREMONT MCKENNA'],NA,"NYU, NORTHEASTERN",,CLAREMONT MCKENNA,2,0,1
F,WHITE,NY,Low,NA,URM,MEDIA STUDIES,1240,4.5,2,['*UPENN'],[],"['*CMU', '*UPENN', '*UMICH', '*USC', '*BOSTON UNIVERSITY', '*NORTHEASTERN']",NA,UPENN,,"CMU, UPENN, UMICH, USC, BOSTON UNIVERSITY, NORTHEASTERN",1,0,6
M,ASIAN,GA,High,NA,NONE,CS,1480,5,4.5,[],[],"['*HARVARD', '*COLUMBIA', '*DARTMOUTH', '*NYU', '*NORTHEASTERN']",NA,,,"HARVARD, COLUMBIA, DARTMOUTH, NYU, NORTHEASTERN",0,0,5
F,ASIAN,CA,High,PUBLIC,NONE,BIO,1430,5.5,4.2,"['*UCSD', '*UCR', '*UCI']",[],"['*UCLA', '*HARVARD', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*JOHNS HOPKINS', '*POMONA', '*UPENN', '*UMICH', '*UCD', '*HARVEY MUDD']",NA,"UCSD, UCR, UCI",,"UCLA, HARVARD, BROWN, STANFORD, COLUMBIA, CORNELL, BERKELEY, JOHNS HOPKINS, POMONA, UPENN, UMICH, UCD, HARVEY MUDD",3,0,13
F,ASIAN,CA,Low,NA,NONE,CS,1570,8.5,4.5,"['*PURDUE', '*POMONA', '*NYU', '*UMICH', '*UCSB', '*UCD', '*UCSC', '*UCR', '*UIUC', '*RUTGERS', '*San Jose State University']","['*UCSD', '*GEORGIA TECH', '*UCHICAGO', '*UCI']","['*UCLA', '*HARVARD', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*CMU', '*RICE', '*UPENN', '*UT-AUSTIN']",NA,"PURDUE, POMONA, NYU, UMICH, UCSB, UCD, UCSC, UCR, UIUC, RUTGERS, San Jose State University","UCSD, GEORGIA TECH, UCHICAGO, UCI","UCLA, HARVARD, BROWN, STANFORD, COLUMBIA, CORNELL, BERKELEY, DUKE, CMU, RICE, UPENN, UT-AUSTIN",11,4,12
M,NA,CA,Low,PUBLIC,NONE,CS,1540,8.5,4.7,"['*UCLA', '*CORNELL', '*BERKELEY', '*USC', '*UCI']","['*HARVARD', '*BROWN', '*DARTMOUTH', '*VANDERBILT', '*NYU', '*UCHICAGO']","['*YALE', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*DUKE', '*PRINCETON', '*UPENN']",NA,"UCLA, CORNELL, BERKELEY, USC, UCI","HARVARD, BROWN, DARTMOUTH, VANDERBILT, NYU, UCHICAGO","YALE, STANFORD, NORTHWESTERN, COLUMBIA, DUKE, PRINCETON, UPENN",5,6,7
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.5,[],['*TULANE'],"['*YALE', '*BROWN', '*JOHNS HOPKINS', '*SWARTHMORE', '*UPENN']",NA,,TULANE,"YALE, BROWN, JOHNS HOPKINS, SWARTHMORE, UPENN",0,1,5
F,BLACK,IN,Low,PRIVATE,NONE,CS,1420,6.5,7.5,"['*BROWN', '*JOHNS HOPKINS', '*BOSTON UNIVERSITY', '*FORDHAM']",[],"['*HARVARD', '*YALE', '*NORTHWESTERN', '*JOHNS HOPKINS', '*NYU', '*UPENN', '*TUFTS']",NA,"BROWN, JOHNS HOPKINS, BOSTON UNIVERSITY, FORDHAM",,"HARVARD, YALE, NORTHWESTERN, JOHNS HOPKINS, NYU, UPENN, TUFTS",4,0,7
F,WHITE,MI,High,PUBLIC,NONE,BIO,1430,3.5,4.5,['*UCD'],"['*CASE WESTERN', '*TULANE']","['*UCSD', '*RICE', '*UCSB']",NA,UCD,"CASE WESTERN, TULANE","UCSD, RICE, UCSB",1,2,3
