student_id,gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,target_college,accepted
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,FORDHAM,1
123,M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1470,6.5,2.5,UVA,1
126,F,WHITE,CA,Low,PUBLIC,NONE,ENG,1350,5.5,2.5,UCLA,1
126,F,WHITE,CA,Low,PUBLIC,NONE,ENG,1350,5.5,2.5,UCSD,1
126,F,WHITE,CA,Low,PUBLIC,NONE,ENG,1350,5.5,2.5,UCSC,1
127,F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,PRINCETON,1
127,F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,UCSD,1
127,F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,GEORGIA TECH,1
127,F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,POMONA,1
127,F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,UMICH,1
127,F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,UCD,1
127,F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,UCI,1
128,M,ASIAN,TX,High,PUBLIC,NONE,CS,1530,6.5,4.2,BROWN,1
128,M,ASIAN,TX,High,PUBLIC,NONE,CS,1530,6.5,4.2,MIT,1
128,M,ASIAN,TX,High,PUBLIC,NONE,CS,1530,6.5,4.2,UT-AUSTIN,1
131,F,HISPANIC,TX,Low,CHARTER,URM,MATH,1400,5,1.5,MIT,1
