Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Acceptances,Waitlists,Rejections,Note
M,ASIAN,MI,Low,PUBLIC,NONE,CS,1550,6.5,6.5,"['*CMU', '*UMICH', '*BOSTON COLLEGE', '*NORTHEASTERN']","['*WILLIAMS', '*VANDERBILT', '*WASHU', '*UVA']","['*DUKE', '*UCHICAGO']",
M,WHITE,FL,Low,PUBLIC,NONE,BIO,1390,5,4.5,"['*NORTHWESTERN', '*DUKE', '*DARTMOUTH', '*RICE', '*UMICH', '*EMORY', '*UNC CHAPEL HILL', '*UVA']",['*GEORGIA TECH'],"['*HARVARD', '*YALE', '*COLUMBIA', '*PRINCETON', '*USC']",
M,ASIAN,ID,High,PUBLIC,FIRST-GEN,CS,1430,5.5,2.5,[],['*CASE WESTERN'],"['*VANDERBILT', '*BOSTON COLLEGE', '*NORTHEASTERN']",
F,BLACK,CA,Low,PUBLIC,URM,BIO,1080,1.5,6.2,['*UCD'],[],"['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*PRINCETON', '*JOHNS HOPKINS', '*DARTMOUTH', '*NYU', '*UPENN', '*UMICH', '*EMORY', '*BOSTON UNIVERSITY', '*UT-AUSTIN', '*TULANE', '*UCHICAGO', '*UCI', '*UCM']",
M,ASIAN,IN,Low,PRIVATE,NONE,ENG,1460,6,4.5,['*UPENN'],"['*VIRGINIA TECH', '*UVA']",['*NORTHWESTERN'],
T,WHITE,NY,Low,PRIVATE,NONE,CS,1600,6.5,4.5,"['*UCD', '*UCSC']","['*UCSD', '*UMICH']",[],
M,ASIAN,AZ,High,PUBLIC,NONE,BUSINESS,1480,6.5,4.5,['*ARIZONA STATE'],[],"['*BERKELEY', '*NYU', '*UPENN', '*UMICH', '*BOSTON COLLEGE']",
M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,"['*BERKELEY', '*UCSD', '*UCSB', '*UCD', '*UCSC', '*ARIZONA STATE', '*UCI']","['*UCLA', '*GEORGIA TECH', '*CMU']","['*STANFORD', '*NORTHWESTERN', '*CORNELL', '*BERKELEY', '*DUKE', '*MIT', '*CALTECH', '*UPENN', '*UIUC', '*HARVEY MUDD']",
F,-1,TX,Low,PUBLIC,NONE,PSYCH,1560,7.5,4.7,"['*UCLA', '*BERKELEY', '*DUKE', '*VANDERBILT', '*UT-AUSTIN']","['*YALE', '*RICE', '*WASHU']",[],
M,ASIAN,TX,Low,PUBLIC,NONE,-1,1550,7.5,4.5,"['*UCLA', '*UCSD', '*UCSB', '*UT-DALLAS', '*UW MADISON', '*TAMU']","['*BERKELEY', '*EMORY']","['*UCLA', '*NORTHWESTERN', '*DUKE', '*GEORGIA TECH', '*RICE', '*VANDERBILT', '*WASHU', '*UT-AUSTIN']",
F,ASIAN,CO,Low,PUBLIC,LEGACY,ENG,1450,6.5,4.5,"['*CMU', '*NORTHEASTERN']","['*CORNELL', '*UMICH']","['*COLUMBIA', '*CORNELL', '*MIT', '*UPENN', '*UMICH']",
M,BLACK,IL,Low,PUBLIC,URM,ENG,1000,5.5,6.5,"['*NORTHWESTERN', '*VANDERBILT', '*UIUC', '*NORTHEASTERN', '*TUFTS', '*ARIZONA STATE']",[],"['*DUKE', '*USC']",
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1480,8.2,5.5,"['*BERKELEY', '*UIUC', '*UT-AUSTIN', '*TAMU']","['*CORNELL', '*GEORGIA TECH', '*CMU', '*PURDUE', '*RICE', '*UMICH']","['*HARVARD', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*DUKE', '*DARTMOUTH', '*UPENN']",
